ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
0x6bbb,INDORES02DEL01,23.0,4.5,22.651847,75.881991,22.721847,75.951991,18-03-2022,22:10,22:25,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,17
0x190a,MYSRES20DEL01,39.0,4.3,12.337978,76.616792,12.377978,76.656792,17-03-2022,15:10,15:20,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33
0x120c,MYSRES07DEL02,37.0,4.8,12.325461,76.632278,12.375461,76.682278,03-03-2022,23:55,24:10:00,Windy,Low,2,Meal,scooter,0.0,No,,20
0x6016,SURRES12DEL03,30.0,4.8,21.183434,72.814492,21.213434,72.844492,05-03-2022,17:35,17:40,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,27
0x9ca0,VADRES13DEL02,29.0,4.6,22.310237,73.158921,22.360237,73.208921,11-03-2022,21:30,21:45,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,26
0x5066,PUNERES01DEL01,29.0,4.0,18.569156,73.774723,18.579156,73.784723,11-03-2022,09:20,09:30,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,25
0x3e6c,COIMBRES17DEL03,33.0,4.3,11.026117,76.944652,11.116117,77.034652,16-03-2022,21:40,21:45,Cloudy,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,46
0x477f,MYSRES18DEL02,32.0,5.0,12.337928,76.617889,12.417928,76.697889,04-04-2022,22:55,0.958333333,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29
0xda8c,GOARES04DEL02,25.0,4.5,15.5696,73.742294,15.6996,73.872294,18-02-2022,20:10,20:15,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20
0x6697,SURRES01DEL02,20.0,4.9,21.186438,72.794115,21.206438,72.814115,03-03-2022,10:50,10:55,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,15
0xaaf0,BANGRES12DEL01,24.0,4.7,12.939496,77.625999,12.979496,77.665999,19-03-2022,12:45,12:55,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,34
0x6497,VADRES12DEL02,24.0,4.8,0.0,0.0,0.08,0.08,31-03-2022,22:30,22:35,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,23
0x265e,VADRES09DEL01,31.0,4.3,0.0,0.0,0.04,0.04,05-04-2022,14:45,14:50,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,31
0xbb88,RANCHIRES17DEL03,39.0,4.5,23.374878,85.335739,23.404878,85.365739,24-03-2022,21:10,21:15,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29
0x4785,BANGRES17DEL01,31.0,4.7,12.972532,77.608179,13.042532,77.678179,16-03-2022,22:40,22:50,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26
0x708a,INDORES02DEL03,33.0,4.6,22.651847,75.881991,22.711847,75.941991,30-03-2022,18:15,18:20,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,19
0xdc42,AURGRES12DEL03,37.0,3.7,19.879631,75.323403,19.969631,75.413403,16-02-2022,18:50,18:55,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,33
0x8dc7,COIMBRES16DEL03,23.0,4.7,11.010375,76.95295,11.100375,77.04295,31-03-2022,19:20,19:30,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,36
0x60a8,SURRES06DEL02,34.0,4.9,21.185047,72.80859,21.265047,72.88859,06-04-2022,18:45,18:50,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,25
0xd68b,KOCRES16DEL02,20.0,4.8,10.003064,76.307589,10.023064,76.327589,15-02-2022,10:45,10:50,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24
0xa32,PUNERES03DEL03,,,18.554382,73.798206,18.614382,73.858206,26-03-2022,,19:05,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,20
0x7799,SURRES09DEL01,36.0,4.9,21.175975,72.795503,21.285975,72.905503,04-03-2022,18:50,18:55,Windy,Medium,0,Meal,motorcycle,2.0,No,Urban,48
0x13ed,RANCHIRES01DEL01,36.0,4.9,23.416792,85.316842,23.486792,85.386842,10-03-2022,0.875,21:05,Cloudy,Jam,0,Meal,motorcycle,,Yes,Metropolitian,53
0x4071,SURRES13DEL02,23.0,4.6,21.170096,72.789122,21.300096,72.919122,25-03-2022,17:40,17:45,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,38
0x3fc3,INDORES09DEL03,37.0,4.0,22.725835,75.887648,22.815835,75.977648,10-03-2022,18:55,0.791666667,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,35
0x3f51,SURRES14DEL03,32.0,5.0,21.157729,72.768726,21.187729,72.798726,03-04-2022,21:35,21:50,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,26
0xb974,BANGRES12DEL02,32.0,4.3,12.939496,77.625999,13.019496,77.705999,29-03-2022,20:20,20:35,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46
0x29d7,JAPRES19DEL03,39.0,4.8,26.913726,75.75282,26.943726,75.78282,21-03-2022,21:50,21:55,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29
0x85ab,CHENRES14DEL02,28.0,4.8,13.026279,80.174568,13.156279,80.304568,04-04-2022,20:40,20:45,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27
