industry,import_dependency,supplier_concentration,major_suppliers_count,alternative_suppliers_count,avg_lead_time_days,inventory_days,safety_stock_days,monthly_procurement_lakhs,port_dependency,road_dependency,transport_mode,primary_port,shock_type,duration_days,severity_pct,crude_price_change_pct,usd_inr_change_pct,freight_index_change_pct,commodity_price_change_pct,inflation_rate_pct,port_congestion_pct,road_congestion_pct,transport_delay_days,cost_impact_pct,lead_time_impact_days,risk_score
Engineering,31.7,64.3,3,2,17.1,29.3,13.7,2113.0,71.3,92.7,Road,JNPT (Navi Mumbai),Monsoon Flooding & Highway Blockade,7.0,85.2,2.85,4.67,-8.21,10.6,6.58,21.8,79.3,7.3,9.7,12.5,46.7
FMCG,5.0,58.5,7,1,4.0,14.2,7.1,76.5,31.2,33.3,Road,Hazira (Surat),None (Normal Baseline),0.0,0.0,-0.13,-0.33,-6.25,-1.99,5.74,26.1,32.9,0.9,1.86,0.3,21.5
Electronics,67.3,47.6,5,4,4.0,28.6,7.4,18.5,76.6,59.6,Road,Kolkata & Haldia,Global Container Shortage,43.0,53.7,1.26,2.92,98.19,2.87,6.3,59.6,43.1,2.9,21.74,9.7,59.1
Electronics,82.7,31.4,1,1,18.8,12.0,4.7,519.1,58.7,50.3,Road,JNPT (Navi Mumbai),Major Port Congestion & Strike,16.0,42.6,-5.51,1.76,53.2,17.32,5.61,76.2,39.6,3.0,13.98,8.0,61.4
Pharmaceuticals,80.9,64.2,4,2,28.3,29.2,15.6,96.6,60.1,87.5,Rail,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,0.2,0.98,-4.92,0.57,6.05,12.4,29.3,0.9,1.15,0.0,23.0
Steel & Metallurgy,34.5,71.6,8,4,13.6,24.0,7.3,80.9,33.1,80.6,Road,Kolkata & Haldia,Import Tariff & Trade Restriction,26.0,42.1,11.75,1.68,17.74,13.32,6.63,35.2,57.4,2.2,11.5,4.3,36.2
Chemicals,28.3,50.6,7,1,15.3,11.0,4.0,95.0,39.3,90.0,Road,Mundra (Gujarat),Major Port Congestion & Strike,44.0,73.8,0.25,3.87,58.29,1.98,6.1,91.0,40.3,8.6,15.18,16.5,74.8
Chemicals,66.4,26.9,4,2,28.0,27.8,9.7,1123.9,26.2,86.8,Road,Visakhapatnam,Global Container Shortage,44.0,75.8,5.09,1.82,118.0,10.24,5.17,44.8,20.0,1.6,14.67,6.7,46.8
Steel & Metallurgy,5.8,59.9,3,2,28.5,18.6,5.2,59.1,35.3,55.1,Road,Cochin Port,Import Tariff & Trade Restriction,9.0,87.1,12.58,1.8,27.0,38.68,6.21,41.8,41.8,3.9,19.14,6.8,52.5
Pharmaceuticals,57.7,65.6,3,0,22.1,36.7,12.7,1238.4,53.8,58.6,Rail,Cochin Port,Critical Raw Material Shortage,40.0,54.3,6.3,2.54,21.43,54.85,7.41,41.3,35.6,1.8,27.88,6.4,57.6
Engineering,52.4,69.6,4,2,21.9,27.0,14.4,263.3,30.3,98.0,Road,JNPT (Navi Mumbai),Currency Depreciation (USD/INR Spike),40.0,91.2,3.94,6.29,10.6,13.38,8.06,41.0,40.7,2.6,14.37,9.0,51.4
Automotive,62.3,46.4,4,4,12.2,16.0,6.2,13.8,72.9,78.9,Rail,Visakhapatnam,Major Port Congestion & Strike,29.0,85.8,7.34,1.82,54.4,1.13,5.82,98.0,57.4,9.2,20.18,21.5,78.8
Chemicals,66.8,33.2,2,2,25.5,19.8,8.5,46.9,31.2,62.8,Rail,JNPT (Navi Mumbai),Critical Raw Material Shortage,34.0,85.6,9.89,3.57,4.25,52.54,7.15,33.6,54.9,0.6,26.08,6.5,62.5
FMCG,29.3,43.2,4,1,5.3,5.0,2.5,57.9,20.2,54.9,Road,Cochin Port,Crude Oil Surge & Fuel Surcharge,15.0,39.9,29.41,3.39,-6.07,-0.92,3.76,31.8,52.2,4.3,7.86,5.4,59.3
Chemicals,66.9,27.6,3,3,23.2,29.5,11.0,1464.8,43.6,73.4,Rail,Chennai Port,None (Normal Baseline),0.0,0.0,0.05,-0.64,-3.17,-0.27,4.17,18.7,19.6,1.8,0.84,0.5,16.5
Electronics,66.7,58.3,7,0,13.3,25.2,12.7,719.3,60.9,43.9,Road,Hazira (Surat),Global Container Shortage,21.0,39.8,-3.95,0.64,67.81,6.09,6.71,55.6,47.8,1.5,12.46,5.9,40.8
Pharmaceuticals,83.7,27.6,4,1,18.2,30.1,11.9,1281.1,42.3,68.1,Air,Hazira (Surat),Major Port Congestion & Strike,34.0,37.0,11.45,2.59,44.99,15.22,7.42,56.8,30.9,3.5,14.24,7.1,41.2
Steel & Metallurgy,30.2,39.2,4,2,11.5,26.1,7.6,10.2,38.7,46.6,Rail,Chennai Port,Major Port Congestion & Strike,9.0,83.1,7.02,1.93,58.59,12.9,5.68,80.7,32.9,9.8,15.86,14.4,55.5
Electronics,65.1,46.0,6,1,29.4,5.0,2.0,645.1,99.0,49.1,Sea,JNPT (Navi Mumbai),Global Container Shortage,31.0,80.2,9.08,1.11,101.15,9.15,4.94,51.9,34.3,3.1,29.3,13.1,90.3
Textiles,10.3,36.7,2,6,29.9,26.7,9.0,333.7,8.9,60.2,Sea,Chennai Port,Cyclone Alert & Coastal Freight Halt,8.0,80.3,3.36,0.9,35.94,1.86,5.3,74.3,35.3,1.0,1.73,3.4,17.4
Electronics,79.9,70.3,5,1,4.1,21.9,8.2,1845.8,51.3,84.4,Rail,Kolkata & Haldia,Major Port Congestion & Strike,11.0,93.3,-5.07,5.21,83.18,5.55,6.93,74.4,29.1,6.2,19.21,12.6,65.0
Textiles,63.5,35.1,2,4,13.7,28.0,14.9,84.1,50.0,41.1,Road,Hazira (Surat),Crude Oil Surge & Fuel Surcharge,11.0,71.1,44.16,0.11,3.8,7.45,4.58,43.6,46.6,2.1,9.76,6.1,33.5
Textiles,5.0,38.8,4,7,19.1,24.6,8.8,1358.2,28.6,69.6,Rail,Chennai Port,Major Port Congestion & Strike,21.0,43.8,18.93,2.81,53.32,2.91,4.51,83.6,20.4,6.7,11.24,8.5,39.5
Engineering,55.2,76.4,5,0,21.5,26.2,13.7,612.8,66.7,74.7,Road,Visakhapatnam,None (Normal Baseline),0.0,0.0,0.4,-2.11,-0.5,-3.08,5.12,23.4,29.6,0.6,2.34,0.0,27.7
Steel & Metallurgy,19.4,27.0,5,2,12.6,23.4,7.2,220.0,51.2,71.8,Sea,Hazira (Surat),Import Tariff & Trade Restriction,12.0,42.5,9.66,-0.49,12.56,22.44,5.93,40.4,37.4,3.9,11.48,5.1,34.5
Chemicals,70.3,54.1,5,5,17.5,24.8,6.2,28.8,71.5,61.9,Road,Visakhapatnam,Major Port Congestion & Strike,33.0,27.6,21.59,0.82,35.82,-2.61,5.53,61.0,60.9,4.0,12.64,9.2,43.0
Textiles,34.5,54.4,5,5,13.4,31.3,13.5,186.2,43.9,53.5,Road,JNPT (Navi Mumbai),Critical Raw Material Shortage,10.0,81.1,2.81,-0.07,12.57,88.15,6.27,15.0,42.1,0.5,30.81,2.4,44.7
Pharmaceuticals,46.8,64.8,2,1,31.5,34.7,9.5,35.1,97.3,55.7,Sea,Cochin Port,Monsoon Flooding & Highway Blockade,7.0,49.3,7.34,2.82,22.77,7.92,5.44,42.1,72.8,7.5,13.32,12.0,43.9
Pharmaceuticals,67.2,54.3,1,3,28.3,47.5,15.6,30.1,71.2,60.5,Rail,Hazira (Surat),Critical Raw Material Shortage,39.0,34.0,2.43,3.58,6.11,29.05,5.4,44.2,48.1,3.1,17.38,8.3,44.0
Steel & Metallurgy,29.4,44.9,1,0,17.3,23.0,11.0,492.7,3.4,34.4,Multimodal,JNPT (Navi Mumbai),None (Normal Baseline),0.0,0.0,-1.22,0.11,4.66,-1.36,5.7,24.8,32.0,0.6,0.0,0.2,20.0
Automotive,31.1,32.5,8,1,22.7,26.0,10.3,19.5,58.8,71.7,Road,Visakhapatnam,Import Tariff & Trade Restriction,6.0,80.8,1.46,1.13,-0.27,26.94,3.5,16.0,49.1,3.4,11.45,6.6,38.8
