network_family,industry,shock_attribute,supplier_count,alternative_supplier_count,port_count,alternative_port_count,factory_count,warehouse_count,distribution_center_count,network_depth,network_edge_count,network_node_count,supplier_concentration,port_dependency,single_point_of_failure,average_route_distance_km,critical_route_distance_km,alternate_route_distance_km,average_supplier_reliability,minimum_supplier_reliability,average_supplier_availability,average_capacity_utilization,maximum_capacity_utilization,factory_capacity_utilization,warehouse_capacity_utilization,inventory_days,safety_stock_days,shock_type_encoded,shock_severity,shock_duration_days,affected_node_importance,affected_capacity_change_pct,affected_availability_change_pct,affected_congestion_change_pct,affected_supply_percent,affected_production_percent,additional_transit_days,additional_transport_cost_pct,alternate_route_available,alternate_route_count,alternate_route_delay_days,alternate_route_cost_increase_pct,rerouted_supply_percent,usd_inr,crude_price,commodity_price,inflation_rate,freight_index,cost_impact_pct,delay_days,risk_score
synth_27,Heavy Machinery,congestion,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,6.0,100.0,70.0,1.0,1500.0,4380.0,4380.0,0.9,0.9,0.92,77.4,85.0,85.0,77.4,18.0,7.0,3.0,0.462,10.15,0.9,32.36,23.11,46.22,23.11,26.07,3.05,27.73,0.0,0.0,3.05,27.73,0.0,84.55,85.36,101.71,6.37,95.15,19.37,5.5,38.0
synth_18,Energy,availability,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,67.89,0.0,0.0,593.38,1526.99,1526.99,0.884,0.854,0.883,72.0,82.0,82.0,70.0,19.0,7.33,0.0,0.499,20.31,0.6,42.38,49.86,19.95,0.43,49.86,0.0,0.0,1.0,4.0,0.0,0.0,4.13,81.0,91.87,99.18,5.84,110.43,10.04,0.6,15.9
synth_5,Chemicals,transit_time_days,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,573.23,1146.47,1146.47,0.93,0.93,0.876,80.44,83.03,83.03,80.44,10.93,8.86,3.0,0.0,59.05,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19,82.52,105.82,6.05,118.11,1.64,0.0,8.2
synth_16,Aerospace,transit_time_days,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,5.0,0.0,6.26,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.41,72.77,100.12,5.45,98.62,0.62,0.2,3.0
synth_18,Energy,transport_cost,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,67.89,0.0,0.0,593.38,1526.99,1468.99,0.884,0.854,0.883,72.0,82.0,82.0,70.0,19.0,7.33,0.0,0.0,33.46,0.6,0.0,0.0,0.0,0.0,0.0,1.0,12.73,1.0,4.0,1.0,12.73,67.89,82.54,89.37,113.73,6.08,126.85,8.77,0.8,12.7
synth_24,Construction,reliability,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,2.0,0.0,23.21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,50.0,80.68,71.61,107.46,4.92,145.36,2.7,0.0,5.1
consumer_goods_delhi,Consumer Goods,transit_time_days,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,0.0,0.0,57.85,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,35.0,83.8,86.15,104.6,3.8,110.77,3.13,0.0,5.7
synth_21,Construction,availability,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,591.07,1182.14,1182.14,0.88,0.88,0.956,78.34,86.52,70.15,78.34,20.21,7.34,3.0,0.65,10.32,0.9,55.23,64.98,25.99,32.49,33.16,3.35,22.74,0.0,0.0,3.35,22.74,0.0,83.76,77.88,101.79,5.65,128.28,17.64,5.7,40.7
synth_30,Plastics,capacity,3.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,7.0,7.0,56.66,0.0,0.0,574.88,1536.37,1536.37,0.844,0.791,0.883,72.0,82.0,82.0,70.0,22.8,7.33,0.0,0.753,7.02,0.6,75.32,60.26,45.19,11.56,29.36,0.0,0.0,1.0,4.0,0.0,0.0,22.1,82.68,65.0,91.88,5.22,128.25,9.44,0.0,19.7
automotive_pune,Automotive,reliability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,186.67,585.0,585.0,0.92,0.9,0.92,75.6,86.0,86.0,75.0,15.0,4.75,5.0,0.788,24.03,0.6,66.97,78.79,31.51,39.39,78.79,9.47,27.58,0.0,0.0,9.47,27.58,0.0,80.26,87.45,101.6,5.76,108.52,27.33,10.6,65.0
synth_25,Heavy Machinery,transport_cost,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,100.0,0.0,1.0,740.94,1481.89,1481.89,0.947,0.947,0.881,74.7,80.77,80.77,74.7,29.71,5.94,0.0,0.0,57.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,75.34,108.05,4.33,120.45,1.79,0.0,8.8
automotive_chennai,Automotive,availability,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,60.0,85.0,1.0,2198.57,920.0,920.0,0.94,0.92,0.925,80.2,88.0,88.0,82.0,13.5,4.5,2.0,0.0,4.46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.57,81.66,113.08,4.54,84.44,1.11,-0.0,3.0
consumer_goods_delhi,Consumer Goods,availability,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,65.0,85.0,0.0,225.83,720.0,720.0,0.925,0.91,0.94,76.6,86.0,86.0,78.0,17.0,6.0,4.0,0.758,16.66,0.6,64.41,75.78,30.31,37.89,70.12,6.31,26.52,0.0,0.0,6.31,26.52,0.0,85.46,75.89,111.35,4.18,153.85,27.65,6.9,53.0
synth_28,Heavy Machinery,severity,2.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,8.0,8.0,65.0,0.0,0.0,305.0,1020.0,1020.0,0.87,0.85,0.895,74.5,84.0,76.0,75.0,18.33,6.33,4.0,0.105,5.62,0.6,10.49,10.49,5.24,5.24,3.93,0.29,3.67,0.0,0.0,0.29,3.67,0.0,84.21,87.84,110.36,6.2,84.33,5.16,0.4,8.3
