feature,cost_impact_pct,delay_days,risk_score
supplier_count,5e-05,0.00564,0.00657
alternative_supplier_count,3e-05,0.00778,0.00989
port_count,0.00037,7e-05,0.00013
alternative_port_count,0.00064,8e-05,0.00051
factory_count,0.00057,5e-05,0.00012
warehouse_count,0.00034,0.00714,0.00424
distribution_center_count,6e-05,7e-05,9e-05
network_depth,7e-05,0.00335,0.00046
network_edge_count,0.00011,0.00153,0.00088
network_node_count,0.0,0.006,0.00056
supplier_concentration,0.0001,0.00139,0.00026
port_dependency,8e-05,5e-05,0.00398
single_point_of_failure,6e-05,0.0048,0.01005
average_route_distance_km,0.00013,0.00014,0.00057
critical_route_distance_km,0.00013,9e-05,0.00045
alternate_route_distance_km,0.00016,0.00193,0.00091
average_supplier_reliability,0.00011,0.00015,0.00042
minimum_supplier_reliability,0.00011,0.00018,0.00057
average_supplier_availability,0.00053,0.00014,0.00036
average_capacity_utilization,0.00015,0.00078,0.00122
maximum_capacity_utilization,0.00012,0.00017,0.00053
factory_capacity_utilization,0.00018,8e-05,0.00019
warehouse_capacity_utilization,0.00011,0.00014,0.00289
inventory_days,0.00011,0.00131,0.0057
safety_stock_days,0.00022,0.00014,0.00026
shock_type_encoded,0.00011,0.00015,0.00016
shock_severity,0.0553,0.00108,0.02514
shock_duration_days,0.00187,0.02366,0.00261
affected_node_importance,0.0001,0.00031,0.0003
affected_capacity_change_pct,0.00141,0.00056,0.00071
affected_availability_change_pct,0.02678,0.00316,0.00059
affected_congestion_change_pct,0.0302,0.00097,0.00323
affected_supply_percent,0.0023,0.02104,0.44915
affected_production_percent,0.06227,0.00492,0.07148
additional_transit_days,0.0113,0.24316,0.1147
additional_transport_cost_pct,0.34184,0.04369,0.02342
alternate_route_available,0.00577,0.05808,0.06808
alternate_route_count,0.00079,0.08036,0.00015
alternate_route_delay_days,0.0005,0.44269,0.16228
alternate_route_cost_increase_pct,0.44816,0.03206,0.02358
rerouted_supply_percent,0.00223,0.00027,0.00066
usd_inr,0.00056,0.00012,0.0003
crude_price,0.00146,0.00014,0.00054
commodity_price,0.0001,0.00012,0.0002
inflation_rate,0.00013,0.00017,0.0002
freight_index,0.00227,0.00013,0.00071
